Attribute,Value,Property,URI,Description
layer,ROUTESMAD.usrtrack,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#usereventmad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity
_id,[_id],Schema:text,http://schema.org/Text,Unique id of item
instant,[date time value],dcterms:date,xsd:datetime,Instant of data generation
idRoute,[value],Schema:text,http://schema.org/Text,Unique id of route plan
geometry,GEOJSON,point object,http://geojson.org/geojson-spec.html#id2, Geo-point of current position of user
idSesion,[value],Schema:text,http://schema.org/Text,Current session of user track
busData,[value],JSON structure,JSON structure,data of bus when the user device is linked to
dayWeek,[type or week days],Mobilitymadrid:weekDays,http://mobilitylab.emtmadrid.es/def/transport#weekdays,Day of week of current track
dayType,[type or service days],Mobilitymadrid:daystype,http://mobilitylab.emtmadrid.es/def/transport#daystype,kind of day which user track is produced
nameRouteUser,[value],Schema:text,http://schema.org/Text,ID of user of route plan
order,[value],schemas:Number,https://schemas.org/Number,Leg or fragment of trip (order into the general route in userplan)
