Attribute,Value,Property,URI,Description
layer,temperature,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#sensormad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity.  (___) is substituted by three digit whith the class of sensor
owner,[value],schemas:Text,https://health-lifesci.schema.org/landlord,Creator of current item definition
type,[value],schemas:Text,http://schema.org/Text,Mode of sharing data (public shared or private)
version,[value],schemas:Text,https://schema.org/version,Version of current schema
_id,[value],Schema:text,http://schema.org/Text,Unique id of sensor into system
instant,[date time value],dcterms:date,xsd:datetime,Instant of data generation
geometry,GEOJSON,point object,http://geojson.org/geojson-spec.html#id2, Geo-point of current position of sensor
accuracy,[value],schemas:Text,https://schemas.org/Text,Class or characteristics of value
shape,[value],structure object,object,for painting in map (icon size color)
acelerometer,value,schemas:Number,https://schemas.org/Number,Section of route where bus is position in current time
battery ,[idSection],schemas:Number,https://schemas.org/Number,Section of route where bus is position in current time
socket,[value],schemas:Text,https://schemas.org/Text,Name of device or sensor
value,[value],ssn:MeasurementCapability,http://purl.oclc.org/NET/ssnx/ssn#MeasurementCapability,Characteristics of meassures and context conditions
state,[value],structure object,object,for painting in map (popup container)
busData,[value],JSON structure,JSON structure,data of bus when the user device is linked to
