Attribute,Value,Property,URI,Description
layer,BUSSTOPMAD.arrivals,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#busEventMad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity
stopid,[_id],Schema:text,http://schema.org/Text,Unique id of stop
lastUpdated,[date value],dcterms:date,xsd:datetime,Datetime of current data
estimations,array of, , ,Array of time of arrivals
estimations.lineId,[value],schema:text,http://schema.org/Text,Number of EMT line
estimations.label,[value],schema:text,http://schema.org/Text,Public label (current no used)
estimacions.destination,[value],schema:text,http://schema.org/Text,Name of destination
estimations.busTime,[value],schemas:Number,https://schemas.org/Number,Time of bus
estimations.busDistance,[value],schemas:Number,https://schemas.org/Number,Distance from bus at stop
estimations.updateTime,[date time value],dcterms:date,xsd:datetime,Datetime of current data
estimations.logicBus,[value],schemas:Number,https://schemas.org/Number,Number of logic bus
estimations.tripId,[value],schemas:Number,https://schemas.org/Number,Number of trip
estimations.route,[value],schemas:Number,https://schemas.org/Number,Number of route
estimations.bus,[value],schemas:Number,https://schemas.org/Number,Number of bus
estimations.instantEstimate,[date time value],dcterms:date,xsd:datetime,Datetime of calc estimate
estimations.timeArrive,[value],schemas:Number,https://schemas.org/Number,Time of arrive to stop
estimations.timeWait,[value],schemas:Number,https://schemas.org/Number,Time of wait on stop
estimations.delay,[value],schemas:Number,https://schemas.org/Number,Delay in stop
estimations.routeAltered,[value],schemas:Number,https://schemas.org/Number,Route altered true false
