Attribute,Value,Property,URI,Description
layer,DEVICEMAD,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#travellerbusmad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity
idDevice,[_id],Schema:text,http://schema.org/Text,Unique id of sensor into system
serialNumber,[idSerial],Schema:text,http://schema.org/Text,Serial number of industrial component
type,[idType],mobilitymadrid:type,http://mobilitylab.emtmadrid.es/def/transport#typeofdevice,kind of device or sensor
dateIni,[date ini],Dcterms:date,xsd:dateTime,Begin date of current information
dateEnd,[date end],Dcterms:valid,xsd:dateTime,End date of current information
name,[value],schemas:Text,https://schemas.org/Text,Name of device or sensor
measurementCapability,[value],ssn:MeasurementCapability,http://purl.oclc.org/NET/ssnx/ssn#MeasurementCapability,Characteristics of meassures and context conditions
batteryLifeTime,[value],ssn:BatteryLIfeTime,http://purl.oclc.org/NET/ssnx/ssn#BatteryLifetime,Time of life of battery
operatingPowerRange,[value],ssn:OperatingPowerRange,http://purl.oclc.org/NET/ssnx/ssn#OperatingPowerRange,Range of operation
survivalProperty,[value],ssn:SurvivalProperty ,http://purl.oclc.org/NET/ssnx/ssn#SurvivalProperty,represents the extent of the sensors useful life
onPlatform,[value],DUL:hasLocation,http://purl.oclc.org/NET/ssnx/ssn#onPlatform,Relation between a System (e.g. a Sensor) and a Platform (constains value on this format: namelayer.idplatform)
sensorInput,[data],ssn:SensorInput,ttp://purl.oclc.org/NET/ssnx/ssn#SensorInput,An Event in the real world that 'triggers' the sensor
sensorOutput,[data],ssn:SensorOutput,http://purl.oclc.org/NET/ssnx/ssn#SensorOutput,A sensor outputs a piece of information (an observed value)
frequency,[data],ssn:Frequency,http://purl.oclc.org/NET/ssnx/ssn#Frequency,The smallest possible time between one observation and the next
condition,[data],ssn:condition,http://purl.oclc.org/NET/ssnx/ssn#Condition,Used to specify ranges for qualities that act as conditions on a system/sensor's operation
PRIVATE,PRIVATE,PRIVATE,PRIVATE,Next data are for internal use. Those data must be encrypted
meanOfCommInput,[idType],mobilitymadrid:type,http://mobilitylab.emtmadrid.es/def/transport#typeofcomm,Way for communication for input date
ipAddressInput,[value],schemas:Text,https://schemas.org/Text,IP ADDRESS OF DEVICE
portInput,[value],schemas:Text,https://schemas.org/Text,PORT OF COMMUNICATION
meanOfCommOutput,[idType],mobilitymadrid:type,http://mobilitylab.emtmadrid.es/def/transport#typeofcomm,Way for communication for input date
ipAddressOutput,[value],schemas:Text,https://schemas.org/Text,IP ADDRESS OF DEVICE
portOutput,[value],schemas:Text,https://schemas.org/Text,PORT OF COMMUNICATION
