Attribute,Value,Property,URI,Description
layer,USERBUSMAD,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#travellerbusmad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity
idUser,[_id],Schema:text,http://schema.org/Text,Unique id of traveller or user into system
createdAt,[date ini],Dcterms:date,xsd:dateTime,Date of user Creation
objectServices,,,,Contains the crypto password 
objectServices.password,[value],Schema:text,https://schema.org/accessCode,Password 
userName,[value],Schema:name,http://schema.org/Name,user id of person
email,[value],Schema:email,https://schema.org/email,email of person
longName,[value],Schema:name,http://schema.org/Name,name of person
profile,Array,Array,Array,Array of user profile
birthdate,[date value],Schema:birthdate,http://schema.org/Birthdate,Birthday
profile,[value],Schema:text,http://schema.org/Text,objetct with values (Address phone email etc)
profile.type,[value],Schema:text,http://schema.org/Text,Class of user id (IE: human, dog, application…)
profile.photo,[url],Schema:url,http://schema.org/turl,URL of Photo of Traveller
profile.listApps,Array,Array,Array,Array of application allowed for this user
profile.listDevices,Array,Array,Array,Array of device id allowed for this user
profile.layers,Array,Array,Array,Array of collecions of data and privilegees for access for this user
profile.rolType,[value],Schema:text,http://schema.org/Text,"Rol of user into the system (example: ""caregiver"",""superuser"",""user"")"
profile.userRelated,Array,Array,Array,Array of user who this user are related
profile.specialNeeds,Array,Array,Array,"Array of special needs of user (IE: ""visionReduced"",""mobilityReduced""…)"
status,[yes/no],Schema: boolean,http://schema.org/boolean,Status active/no active of current user
