Attribute,Value,Property,URI,Description
layer,ROUTEPLANMAD,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#usereventmad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity
idUser,[_id],Schema:text,http://schema.org/Text,Unique id of sensor into system
instant,[date time value],dcterms:date,xsd:datetime,Instant of the create this calc
nameRouteUser,[value],Schema:text,http://schema.org/Text,Name of current route plan
nameRouteResults,[value],Schema:text,http://schema.org/Text,Name of current into the Transport System
daysweek,[type or week days],Mobilitymadrid:weekDays,http://mobilitylab.emtmadrid.es/def/transport#weekdays,Days of week which this route is used from the user
daystype,[type or service days],Mobilitymadrid:daystype,http://mobilitylab.emtmadrid.es/def/transport#daystype,kind of day which user uses the route (ej: LA = Working day SA.- Saturday FE.- Festive
dateIni,[date ini],Dcterms:date,xsd:dateTime,Begin date of the route is used from user 
dateEnd,[date end],Dcterms:valid,xsd:dateTime,end date of the route is used from user 
hourIni,xsd_time,Dcterms:time,xsd:Time, hour Begin for using de route
hourEnd,xsd_time,Dcterms:time,xsd:Time, hour End for using de route
timeOfTrip,[value],schemas:Number,https://schemas.org/Number,Full time calculated in the trip (including walking and bus trips)
transfers,[value],schemas:Number,https://schemas.org/Number,Qty of transfers (one or more bus lines)
generalRouteDescription,ARRAY,ARRAY,ARRAY,Current array represented de routes description grouping and sourting with Order of route
order,[value],schemas:Number,https://schemas.org/Number,Leg or fragment of trip (order into the array)
typeLeg,[value],Schema:text,http://schema.org/Text,Kind of segment of trip (W=walking B=Bus)
from,[value],Schema:text,http://schema.org/Text,Name from of current segment
to,[value],Schema:text,http://schema.org/Text,Name to of current segment
theorTimeToSpend,[value],schemas:Number,https://schemas.org/Number,Theoretical Time of this part of trip
realTimeToSpendMin,[value],schemas:Number,https://schemas.org/Number,Minimal Real Time of this part of trip
realTimeToSpendMax,[value],schemas:Number,https://schemas.org/Number,Maximal Real Time of this part of trip
realTimeToSpendAvg,[value],schemas:Number,https://schemas.org/Number,Average Real Time of this part of trip
coordinatesTo,GEOJSON,point object,http://geojson.org/geojson-spec.html#id2,Representation of geo-point of start of current segment
coordinatesFrom,GEOJSON,point object,http://geojson.org/geojson-spec.html#id2,Representation of geo-point of end of current segment
descriptionLeg,[value],Schema:text,http://schema.org/Text,description of current route segment
idLine,[id of line],schemas:Number,https://schemas.org/Number,Unique identifier of line into EMT Company
nameLineA,[name sect],schemas:Text,https://schemas.org/Text,Public Name of section of Line FROM
nameLineB,[name sect],schemas:Text,https://schemas.org/Text,Public Name of section of Line TO
idStopFrom,[id of stop],schemas:Number,https://schemas.org/Number,identifier of stop which this segment of bus route starting
nameStopFrom,[name of stop],schemas:Text,https://schemas.org/Text,Public Name of source Stop
idStopTo,[id of stop],schemas:Number,https://schemas.org/Number,identifier of stop which this segment of bus route ending
nameStopTo,[name of stop],schemas:Text,https://schemas.org/Text,Public Name of target Stop
detailRouteDescripcion,ARRAY,ARRAY,ARRAY,This ARRAY contains de multiline details of routes
order,[value],schemas:Number,https://schemas.org/Number,Leg or fragment of trip (order into the array)
routePoints,GEOJSON,multilineObject,http://geojson.org/geojson-spec.html#id6,Multilinestring of checkPoints of Route where the systems check de route
stopPoints,GEOJSON,multipointobjetc,http://geojson.org/geojson-spec.html#id5,Multipoint of Stops of this segment of trip
checkPointsRoute,GEOJSON,multilineObject,http://geojson.org/geojson-spec.html#id6,Multilinestring of checkPoints of Route where the systems check de route
timeCheckPointsRoute,[objectvalue],Objetc,https://schemas.org/Text,Array of objetcs, one position per multiline string of checkPointsRoute with (theoretical time minimal time maximal time average time)
checkPointsStops,GEOJSON,multipointobjetc,http://geojson.org/geojson-spec.html#id6,Multipoint of checkPoints of Route where the systems check de route
timeCheckPointsStops,[objectvalue],Objetc,https://schemas.org/Text,Array of objetcs, one position per multiline string of checkPointStops with (theoretical time minimal time  maximal time average time)
