Attribute,Value,Property,URI,Description
layer,USERBUSMAD,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#travellerbusmad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity
idUser,[_id],Schema:text,http://schema.org/Text,Unique id of traveller or user into system
appId,mobitlitymadrid:appid,mobitlitymadrid:appid,http://mobilitylab.emtmadrid.es/def/transport#appid,Id of application in the context of Mobility
device Id,[value],Schema:text,http://schema.org/Text,Unique id of application 
name,[value],Schema:name,http://schema.org/Name,name of person
Private,Array,Array,Array,Next fields are a Structure of private data and must be secured
birthdate,[date value],Schema:birthdate,http://schema.org/Birthdate,Birthday
profile,[value],Schema:text,http://schema.org/Text,objetct with values (Address phone email etc)
parent,[value],Schema:parent,http://schema.org/Parent,Data of Parent
photo,[url],Schema:url,http://schema.org/turl,URL of Photo of Traveller
arrayOfNeeds,Array,Array,Array,Structure of Special Needs
monitoring,[yes/no],Schema: boolean,http://schema.org/boolean,Person who needs supervision in the journey
visionReduced,[yes/no],Schema: boolean,http://schema.org/boolean,Person who has a reduced vision
mobilityReduced,[yes/no],Schema: boolean,http://schema.org/boolean,Person who uses wheel chair
caregiver,[yes/no],Schema: boolean,http://schema.org/boolean,This person is a caregiver
