Attribute,Value,Property,URI,Description
RBLayer,"""BUSMADRID""",mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#busmadrid,kind of layer into RB. Layer ontology describes data domain, Reactive Box and other elements of this entity
idbus,[id of bus],schemas:Number,https://schemas.org/Number,Unique identifier of bus into EMT Company
Corporation,"""EMT""",Mobilitymadrid:corporation,https://schemas.org/Corporation,organization to which it belongs
DateIni,[date ini],Dcterms:date,xsd:dateTime,Begin date of current information
DateEnd,[date end],Dcterms:valid,xsd:dateTime,End date of current information
Depo,[id depo],mobilitymadrid:depo,http://mobilitylab.emtmadrid.es/def/transport#Depo,Deposit which it belongs
Brand,[name of brand],mobilitymadrid:brand,http://mobilitylab.emtmadrid.es/def/transport#Brand,Brand of bus
Model,[name of model],mobilitymadrid:model,http://mobilitylab.emtmadrid.es/def/transport#Model,Model which belongs into Brand
Version,[num],schemas:Number,https://schema.org/Number,Number of version into a specific model 
Plate,[id plate],schemas:Text,https://schemas.org/Text,Plate id of bus
Capacity,[num],schemas:Number,https://schemas.org/Number,Max capacity  of passengers
FuelType,[type of fuel],Mobilitymadrid:fuelType,http://mobilitylab.emtmadrid.es/def/transport#fueltype,Type of fuel (ej  gas  electricity  etc)
AccesibilityType,[type of accesibility],Mobilitymadrid:accessibilitytype,http://mobilitylab.emtmadrid.es/def/transport#accesibilitytype,Type of accesibility
