Attribute,Value,Property,URI,Description
layer,DEVICEMAD,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#travellerbusmad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity
idDevice,[_id],Schema:text,http://schema.org/Text,Unique id of sensor into system
SerialNumber,[idSerial],Schema:text,http://schema.org/Text,Serial number of industrial component
type,[idType],mobilitymadrid:type,http://mobilitylab.emtmadrid.es/def/transport#typeofdevice,kind of device or sensor
DateIni,[date ini],Dcterms:date,xsd:dateTime,Begin date of current information
DateEnd,[date end],Dcterms:valid,xsd:dateTime,End date of current information
name,[value],schemas:Text,https://schemas.org/Text,Name of device or sensor
MeasurementCapability,[value],ssn:MeasurementCapability,http://purl.oclc.org/NET/ssnx/ssn#MeasurementCapability,Characteristics of meassures and context conditions
BatteryLifeTime,[value],ssn:BatteryLIfeTime,http://purl.oclc.org/NET/ssnx/ssn#BatteryLifetime,Time of life of battery
OperatingPowerRange,[value],ssn:OperatingPowerRange,http://purl.oclc.org/NET/ssnx/ssn#OperatingPowerRange,Range of operation
SurvivalProperty,[value],ssn:SurvivalProperty ,http://purl.oclc.org/NET/ssnx/ssn#SurvivalProperty,represents the extent of the sensors useful life
onPlatform,[value],DUL:hasLocation,http://purl.oclc.org/NET/ssnx/ssn#onPlatform,Relation between a System (e.g. a Sensor) and a Platform
SensorInput,[data],ssn:SensorInput,ttp://purl.oclc.org/NET/ssnx/ssn#SensorInput,An Event in the real world that 'triggers' the sensor
SensorOutput,[data],ssn:SensorOutput,http://purl.oclc.org/NET/ssnx/ssn#SensorOutput,A sensor outputs a piece of information (an observed value)
PRIVATE,PRIVATE,PRIVATE,PRIVATE,Next data are for internal use. Those data must be encrypted
meanOfCommInput,[idType],mobilitymadrid:type,http://mobilitylab.emtmadrid.es/def/transport#typeofcomm,Way for communication for input date
ipAddressInput,[value],schemas:Text,https://schemas.org/Text,IP ADDRESS OF DEVICE
portInput,[value],schemas:Text,https://schemas.org/Text,PORT OF COMMUNICATION
meanOfCommOutput,[idType],mobilitymadrid:type,http://mobilitylab.emtmadrid.es/def/transport#typeofcomm,Way for communication for input date
ipAddressOutput,[value],schemas:Text,https://schemas.org/Text,IP ADDRESS OF DEVICE
portOutput,[value],schemas:Text,https://schemas.org/Text,PORT OF COMMUNICATION
