Attribute,Value,Property,URI,Description
layer,LINEBUSMAD,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#lineBusMad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity
idLine,[id of line],schemas:Number,https://schemas.org/Number,Unique identifier of line into EMT Company
corporation,EMT,Mobilitymadrid:corporation,https://schemas.org/Corporation,organization to which it belongs
dateIni,[date ini],Dcterms:date,xsd:dateTime,Begin date of current information
dateEnd,[date end],Dcterms:valid,xsd:dateTime,End date of current information
depo,[id depo],mobilitymadrid:depo,http://mobilitylab.emtmadrid.es/def/transport#Depo,Deposit which it belongs
group,[cod group],mobilitymadrid:group,http://mobilitylab.emtmadrid.es/def/transport#group,Each line belongs to subgroup of lines (ej. Nightly Universitary_)
label,[id label],schemas:AlernateName,https://schemas.org/AlternateName,Public identifier of the line
sections,Array,Array,Array,Array of sections (each itinerary) ¨JSON-LD?
sectionId,[id section],schemas:Number,https://schemas.org/Number,Itineraty 1 2 etc
name,[name sect],schemas:Text,https://schemas.org/Text,Public Name of section
lenght,[value],schemas:Number,https://schemas.org/number,Distance in meters of current section
geometryline,GEOJSON,multiline object,http://geojson.org/geojson-spec.html#id6,Representation of vials on itinerary of section
geometryStops,GEOJSON,multiline object,http://geojson.org/geojson-spec.html#id6,Representation of stops on itinerary of section
