Attribute,Value,Property,URI,Description
Layer,BUSSTOPMAD,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#busstopmad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity
idStop,[id of stop],schemas:Number,https://schemas.org/Number,Unique identifier of stop into  Company
Corporation,EMT,Mobilitymadrid:corporation,https://schemas.org/Corporation,organization to which it belongs
DateIni,[date ini],Dcterms:date,xsd:dateTime,Begin date of current information
DateEnd,[date end],Dcterms:valid,xsd:dateTime,End date of current information
geometrystop,GEOJSON,point object,http://geojson.org/geojson-spec.html#id2,Representation of geo-point of stop
Sections,Array,Array,Array,Array of lines which use the stop ÀJSON-LD?
idLine,[id of line],schemas:Number,https://schemas.org/Number,Unique identifier of line into EMT Company
SectionId,[id section],schemas:Number,https://schemas.org/Number,Itineraty 1 2 etc
Distance,[value],schemas:Number,https://schemas.org/Number,Distance in meters from start of Itinerary
typestop,[id type],mobilitymadrid:typestop,http://mobilitylab.emtmadrid.es/def/transport#typestop,One stop can be (in respect of stop) header - intermediate stop - etc
StopName,[name of stop],schemas:Text,https://schemas.org/Text,Public Name of Stop
StopLongName,[alternatename of stop],Schema:alternateName,http://schema.org/Text,Long Name (full) of Stop
Address,[Stop Address],Schema:PostalAddress,http://schema.org/PostalAddress,Address of stop
